datetime;price;volume
2022-01-10 09:30:00;8.73;-86.45
2022-01-10 09:31:00;8.74;-87.75
2022-01-10 09:32:00;8.77;229.90
2022-01-10 09:33:00;8.76;30.90
2022-01-10 09:34:00;8.76;51.00
2022-01-10 09:35:00;8.75;-75.85
2022-01-10 09:36:00;8.73;-124.80
2022-01-10 09:37:00;8.72;16.33
2022-01-10 09:38:00;8.73;-45.53
2022-01-10 09:39:00;8.71;-183.37
2022-01-10 09:40:00;8.71;73.78
2022-01-10 09:41:00;8.72;17.67
2022-01-10 09:42:00;8.72;-71.20
2022-01-10 09:43:00;8.72;57.06
2022-01-10 09:44:00;8.73;98.95
2022-01-10 09:45:00;8.73;3.84
2022-01-10 09:46:00;8.73;81.42
2022-01-10 09:47:00;8.75;78.42
2022-01-10 09:48:00;8.74;-97.89
2022-01-10 09:49:00;8.73;0.00
2022-01-10 09:50:00;8.73;95.62
2022-01-10 09:51:00;8.73;36.18
2022-01-10 09:52:00;8.73;37.63
2022-01-10 09:53:00;8.73;28.35
2022-01-10 09:54:00;8.72;24.38
2022-01-10 09:55:00;8.72;-520.00
2022-01-10 09:56:00;8.71;19.71
2022-01-10 09:57:00;8.70;-113.72
2022-01-10 09:58:00;8.70;-93.18
2022-01-10 09:59:00;8.70;65.71
2022-01-10 10:00:00;8.71;-14.61
2022-01-10 10:01:00;8.71;35.19
2022-01-10 10:02:00;8.71;18.75
2022-01-10 10:03:00;8.72;56.84
2022-01-10 10:04:00;8.71;-37.58
2022-01-10 10:05:00;8.70;-186.47
2022-01-10 10:06:00;8.70;-15.35
2022-01-10 10:07:00;8.70;1.56
2022-01-10 10:08:00;8.70;-40.67
2022-01-10 10:09:00;8.70;-54.22
2022-01-10 10:10:00;8.69;-310.06
2022-01-10 10:11:00;8.68;-178.17
2022-01-10 10:12:00;8.68;26.89
2022-01-10 10:13:00;8.68;22.00
2022-01-10 10:14:00;8.68;-40.53
2022-01-10 10:15:00;8.67;-64.47
2022-01-10 10:16:00;8.68;42.85
2022-01-10 10:17:00;8.68;145.33
